"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180410,2018-04-10,089741,CME ,00,089 ,   29545,    5014,   25939,       6,   14405,       0,       0,    8293,    2293,       4,       0,     245,       0,   27722,   28487,    1823,    1058,     995,    3014,    -268,       6,   -1778,       0,       0,     306,     805,     -44,    -355,     135,       0,    1149,     634,    -154,     361,  100.0,   17.0,   87.8,    0.0,   48.8,    0.0,    0.0,   28.1,    7.8,    0.0,    0.0,    0.8,    0.0,   93.8,   96.4,    6.2,    3.6,     24,.,      4,.,.,      0,      0,     11,      4,.,      0,.,      0,     16,     10,    69.1,    88.5,    87.9,    96.1,    69.1,    88.5,    87.9,    96.0,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180403,2018-04-03,089741,CME ,00,089 ,   28550,    2000,   26207,       0,   16183,       0,       0,    7987,    1488,      48,     355,     110,       0,   26573,   27853,    1977,     697,    -624,       0,      -3,       0,   -1744,       0,       0,    1187,    -549,       0,     209,     -12,       0,    -348,    -564,    -276,     -60,  100.0,    7.0,   91.8,    0.0,   56.7,    0.0,    0.0,   28.0,    5.2,    0.2,    1.2,    0.4,    0.0,   93.1,   97.6,    6.9,    2.4,     28,.,      4,      0,.,      0,      0,     14,.,.,.,.,      0,     21,      8,    68.4,    92.7,    81.6,    97.6,    68.4,    92.7,    81.6,    97.4,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180327,2018-03-27,089741,CME ,00,089 ,   29174,    2000,   26210,       0,   17927,       0,       0,    6800,    2037,      48,     146,     122,       0,   26921,   28417,    2253,     757,     301,       0,     -19,       0,    -122,       0,       0,     101,     470,       0,      -8,     -28,       0,     -29,     423,     330,    -122,  100.0,    6.9,   89.8,    0.0,   61.4,    0.0,    0.0,   23.3,    7.0,    0.2,    0.5,    0.4,    0.0,   92.3,   97.4,    7.7,    2.6,     25,.,      4,      0,.,      0,      0,     12,.,.,.,.,      0,     17,      9,    71.9,    90.7,    83.3,    97.2,    71.9,    90.7,    83.3,    97.2,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180320,2018-03-20,089741,CME ,00,089 ,   28873,    2000,   26229,       0,   18049,       0,       0,    6699,    1567,      48,     154,     150,       0,   26950,   27994,    1923,     879,  -18524,    1197,   -1933,  -15773,   -1003,       0,       0,   -1190,     270,    -828,    -581,       0,       0,  -18178,  -18264,    -346,    -260,  100.0,    6.9,   90.8,    0.0,   62.5,    0.0,    0.0,   23.2,    5.4,    0.2,    0.5,    0.5,    0.0,   93.3,   97.0,    6.7,    3.0,     25,.,      4,      0,.,      0,      0,     13,.,.,.,.,      0,     18,      8,    73.0,    92.0,    84.2,    97.0,    73.0,    92.0,    84.2,    96.8,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180313,2018-03-13,089741,CME ,00,089 ,   47397,     803,   28162,   15773,   19052,       0,       0,    7889,    1297,     876,     735,     150,       0,   45128,   46258,    2269,    1139,    7592,      55,   -4234,   12568,     -96,       0,       0,   -5898,   -1695,     876,     -23,       0,       0,    7482,    7515,     110,      77,  100.0,    1.7,   59.4,   33.3,   40.2,    0.0,    0.0,   16.6,    2.7,    1.8,    1.6,    0.3,    0.0,   95.2,   97.6,    4.8,    2.4,     28,.,      4,.,.,      0,      0,     14,.,.,.,.,      0,     24,      9,    74.6,    89.1,    84.7,    97.5,    47.5,    59.4,    53.6,    62.5,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180306,2018-03-06,089741,CME ,00,089 ,   39805,     748,   32396,    3205,   19148,       0,       0,   13787,    2992,       0,     758,     150,       0,   37646,   38743,    2159,    1062,  -11168,     748,  -14003,    2979,    1290,       0,       0,  -16157,       9,    -151,     -18,     150,       0,  -11309,  -11016,     141,    -152,  100.0,    1.9,   81.4,    8.1,   48.1,    0.0,    0.0,   34.6,    7.5,    0.0,    1.9,    0.4,    0.0,   94.6,   97.3,    5.4,    2.7,     32,.,      5,.,.,      0,      0,     12,      7,      0,.,.,      0,     20,     14,    79.6,    84.6,    87.8,    94.5,    72.6,    80.8,    79.8,    87.2,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180227,2018-02-27,089741,CME ,00,089 ,   50973,       0,   46399,     226,   17858,       0,       0,   29944,    2983,     151,     776,       0,       0,   48955,   49759,    2018,    1214,    1957,    -976,     -24,       0,    4382,       0,       0,   -2286,    1550,     140,     274,       0,       0,    1534,    1666,     423,     291,  100.0,    0.0,   91.0,    0.4,   35.0,    0.0,    0.0,   58.7,    5.9,    0.3,    1.5,    0.0,    0.0,   96.0,   97.6,    4.0,    2.4,     30,      0,      5,.,      4,      0,      0,     12,      6,.,.,      0,      0,     21,     11,    85.0,    88.1,    90.5,    96.8,    85.0,    87.7,    90.5,    96.0,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180220,2018-02-20,089741,CME ,00,089 ,   49016,     976,   46423,     226,   13476,       0,       0,   32230,    1433,      11,     502,       0,       0,   47421,   48093,    1595,     923,    -406,     391,     -51,      -4,   -1832,       0,       0,    1077,    -274,      11,       2,    -110,       0,    -355,    -428,     -51,      22,  100.0,    2.0,   94.7,    0.5,   27.5,    0.0,    0.0,   65.8,    2.9,    0.0,    1.0,    0.0,    0.0,   96.7,   98.1,    3.3,    1.9,     29,.,      5,.,      4,      0,      0,     14,.,.,.,      0,      0,     22,      9,    79.8,    91.7,    88.3,    98.1,    79.8,    91.2,    88.3,    97.6,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180213,2018-02-13,089741,CME ,00,089 ,   49422,     585,   46474,     230,   15308,       0,       0,   31153,    1707,       0,     500,     110,       0,   47776,   48521,    1646,     901,   -3024,     585,   -2243,       4,   -5472,       0,       0,    2714,    -868,       0,    -293,      -8,       0,   -2462,   -3115,    -562,      91,  100.0,    1.2,   94.0,    0.5,   31.0,    0.0,    0.0,   63.0,    3.5,    0.0,    1.0,    0.2,    0.0,   96.7,   98.2,    3.3,    1.8,     30,.,      5,.,      4,      0,      0,     14,.,      0,.,.,      0,     22,     10,    81.9,    91.1,    88.3,    97.9,    81.9,    90.6,    88.3,    97.5,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180206,2018-02-06,089741,CME ,00,089 ,   52446,       0,   48717,     226,   20780,       0,       0,   28439,    2575,       0,     793,     118,       0,   50238,   51636,    2208,     810,   -6494,       0,   -1657,       0,   -7006,       0,       0,     434,   -4634,       0,     288,       1,       0,   -6284,   -6290,    -210,    -204,  100.0,    0.0,   92.9,    0.4,   39.6,    0.0,    0.0,   54.2,    4.9,    0.0,    1.5,    0.2,    0.0,   95.8,   98.5,    4.2,    1.5,     30,      0,      6,.,      4,      0,      0,     13,.,      0,.,.,      0,     21,     10,    83.4,    86.1,    89.1,    98.0,    83.4,    85.7,    89.1,    97.5,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180130,2018-01-30,089741,CME ,00,089 ,   58940,       0,   50374,     226,   27786,       0,       0,   28005,    7209,       0,     505,     117,       0,   56522,   57926,    2418,    1014,   -3623,       0,    -338,       0,   -4714,       0,       0,     930,   -3118,       0,      -5,     -23,       0,   -3789,   -3479,     166,    -144,  100.0,    0.0,   85.5,    0.4,   47.1,    0.0,    0.0,   47.5,   12.2,    0.0,    0.9,    0.2,    0.0,   95.9,   98.3,    4.1,    1.7,     31,      0,      6,.,      4,      0,      0,     13,      5,      0,.,.,      0,     20,     12,    86.5,    76.7,    90.9,    93.1,    86.5,    76.3,    90.9,    92.8,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180123,2018-01-23,089741,CME ,00,089 ,   62563,       0,   50712,     226,   32500,       0,       0,   27075,   10327,       0,     510,     140,       0,   60311,   61405,    2252,    1158,      53,       0,     131,      -1,    -790,       0,       0,     660,    -154,       0,    -101,     -32,       0,    -232,     -56,     285,     109,  100.0,    0.0,   81.1,    0.4,   51.9,    0.0,    0.0,   43.3,   16.5,    0.0,    0.8,    0.2,    0.0,   96.4,   98.1,    3.6,    1.9,     32,      0,      6,.,      4,      0,      0,     14,      5,      0,.,.,      0,     21,     12,    87.0,    72.9,    91.4,    92.3,    87.0,    72.6,    91.4,    91.9,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180116,2018-01-16,089741,CME ,00,089 ,   62510,       0,   50581,     227,   33290,       0,       0,   26415,   10481,       0,     611,     172,       0,   60543,   61461,    1967,    1049,    2058,       0,    1362,       0,    1461,       0,       0,     487,     781,       0,     101,      30,       0,    2049,    2173,       9,    -115,  100.0,    0.0,   80.9,    0.4,   53.3,    0.0,    0.0,   42.3,   16.8,    0.0,    1.0,    0.3,    0.0,   96.9,   98.3,    3.1,    1.7,     35,      0,      6,.,      5,      0,      0,     14,      6,      0,.,.,      0,     24,     13,    86.7,    73.0,    91.1,    92.0,    86.7,    72.6,    91.1,    91.7,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180109,2018-01-09,089741,CME ,00,089 ,   60452,       0,   49219,     227,   31829,       0,       0,   25928,    9700,       0,     510,     142,       0,   58494,   59288,    1958,    1164,     978,       0,     442,       0,     -82,       0,       0,     889,     424,       0,      20,      -9,       0,     827,     857,     151,     121,  100.0,    0.0,   81.4,    0.4,   52.7,    0.0,    0.0,   42.9,   16.0,    0.0,    0.8,    0.2,    0.0,   96.8,   98.1,    3.2,    1.9,     32,      0,      6,.,      4,      0,      0,     14,      5,      0,.,.,      0,     22,     12,    87.0,    73.5,    91.4,    92.2,    87.0,    73.1,    91.4,    91.8,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE",180102,2018-01-02,089741,CME ,00,089 ,   59474,       0,   48777,     227,   31911,       0,       0,   25039,    9276,       0,     490,     151,       0,   57667,   58431,    1807,    1043,    2458,    -151,    2172,       0,    2338,       0,       0,     217,     263,       0,      33,      28,       0,    2437,    2463,      21,      -5,  100.0,    0.0,   82.0,    0.4,   53.7,    0.0,    0.0,   42.1,   15.6,    0.0,    0.8,    0.3,    0.0,   97.0,   98.2,    3.0,    1.8,     32,      0,      6,.,      4,      0,      0,     13,      6,      0,.,.,      0,     21,     13,    88.0,    73.9,    92.0,    92.0,    88.0,    73.5,    92.0,    91.6,"(CONTRACTS OF RUB 2,500,000)","089741","CME ","089 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181231,2018-12-31,095741,CME ,00,095 ,  151235,    5576,   56900,    1007,   73048,    9554,     514,   56404,   49016,    3815,    5634,   26491,       1,  145999,  147298,    5236,    3937,   14157,    -607,    3877,     135,    9947,    -470,     149,    4082,   12118,    -479,     214,     111,       1,   13442,   15442,     715,   -1285,  100.0,    3.7,   37.6,    0.7,   48.3,    6.3,    0.3,   37.3,   32.4,    2.5,    3.7,   17.5,    0.0,   96.5,   97.4,    3.5,    2.6,    128,.,      8,.,     13,     13,.,     34,     33,      8,     14,     12,.,     66,     76,    59.3,    45.0,    73.2,    63.0,    59.3,    44.9,    72.4,    63.0,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181224,2018-12-24,095741,CME ,00,095 ,  137078,    6183,   53023,     872,   63101,   10024,     365,   52322,   36898,    4294,    5420,   26380,       0,  132557,  131856,    4521,    5222,   14468,    -537,    3414,      72,    4873,    -480,     -27,    7766,   16315,     472,    1659,   -5453,       0,   14278,   14313,     190,     155,  100.0,    4.5,   38.7,    0.6,   46.0,    7.3,    0.3,   38.2,   26.9,    3.1,    4.0,   19.2,    0.0,   96.7,   96.2,    3.3,    3.8,    132,.,      9,.,     12,     15,.,     30,     38,      8,     14,     13,      0,     62,     82,    56.4,    43.5,    71.1,    60.5,    56.4,    43.4,    70.6,    60.4,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181218,2018-12-18,095741,CME ,00,095 ,  122610,    6720,   49609,     800,   58228,   10504,     392,   44556,   20583,    3822,    3761,   31833,       0,  118279,  117543,    4331,    5067,  -61510,  -33853,  -56978,   -4150,    2564,    -353,     -45,  -23169,    2554,   -3064,     380,     885,       0,  -61337,  -61151,    -173,    -359,  100.0,    5.5,   40.5,    0.7,   47.5,    8.6,    0.3,   36.3,   16.8,    3.1,    3.1,   26.0,    0.0,   96.5,   95.9,    3.5,    4.1,    120,.,      8,.,     12,     16,.,     26,     35,      8,     10,     12,      0,     56,     75,    62.7,    48.8,    76.2,    65.5,    62.7,    48.8,    75.5,    65.2,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181211,2018-12-11,095741,CME ,00,095 ,  184120,   40573,  106587,    4950,   55664,   10857,     437,   67725,   18029,    6886,    3381,   30948,       0,  179616,  178694,    4504,    5426,   -7392,   -6617,    -540,     433,   -2320,    -203,     314,    3093,   -5029,   -1931,    -395,     167,       0,   -7423,   -6789,      31,    -603,  100.0,   22.0,   57.9,    2.7,   30.2,    5.9,    0.2,   36.8,    9.8,    3.7,    1.8,   16.8,    0.0,   97.6,   97.1,    2.4,    2.9,    134,      4,      7,.,     12,     14,      4,     36,     36,     15,     10,     14,      0,     73,     83,    52.5,    63.6,    70.9,    75.6,    52.5,    61.5,    70.6,    73.5,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181204,2018-12-04,095741,CME ,00,095 ,  191512,   47190,  107127,    4517,   57984,   11060,     123,   64632,   23058,    8817,    3776,   30781,       0,  187039,  185483,    4473,    6029,    1600,   -2273,   -2980,    3138,   10582,   -1254,    -595,  -11527,     -22,    2336,     238,     297,       0,    1899,     920,    -299,     680,  100.0,   24.6,   55.9,    2.4,   30.3,    5.8,    0.1,   33.7,   12.0,    4.6,    2.0,   16.1,    0.0,   97.7,   96.9,    2.3,    3.1,    136,      7,      6,.,     11,     15,.,     26,     42,     17,     12,     14,      0,     68,     89,    56.4,    61.1,    74.7,    73.3,    56.3,    58.9,    74.5,    71.1,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181127,2018-11-27,095741,CME ,00,095 ,  189912,   49463,  110107,    1379,   47402,   12314,     718,   76159,   23080,    6481,    3538,   30484,       0,  185140,  184563,    4772,    5349,    3882,   10198,   -2593,       0,  -11428,     538,       1,    5002,    5327,     337,     307,     206,      -8,    4409,    3808,    -527,      74,  100.0,   26.0,   58.0,    0.7,   25.0,    6.5,    0.4,   40.1,   12.2,    3.4,    1.9,   16.1,    0.0,   97.5,   97.2,    2.5,    2.8,    141,      6,      5,.,     14,     15,.,     30,     43,     13,     13,     13,      0,     74,     84,    56.4,    61.4,    71.7,    73.9,    56.4,    60.8,    71.6,    73.3,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181120,2018-11-20,095741,CME ,00,095 ,  186030,   39265,  112700,    1379,   58830,   11776,     717,   71157,   17753,    6144,    3231,   30278,       8,  180731,  180755,    5299,    5275,    -216,   -2302,   -3444,       0,   -2013,    4331,      62,    2105,    -773,    2033,     219,   -2996,       8,     112,    -779,    -328,     563,  100.0,   21.1,   60.6,    0.7,   31.6,    6.3,    0.4,   38.3,    9.5,    3.3,    1.7,   16.3,    0.0,   97.2,   97.2,    2.8,    2.8,    131,      6,      5,.,     14,     14,.,     29,     35,      9,     12,     14,.,     68,     76,    55.8,    64.1,    71.4,    76.5,    55.8,    63.5,    71.3,    76.0,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181113,2018-11-13,095741,CME ,00,095 ,  186246,   41567,  116144,    1379,   60843,    7445,     655,   69052,   18526,    4111,    3012,   33274,       0,  180619,  181534,    5627,    4712,    2161,    9126,   -3116,    -109,  -15311,    4783,     655,    5946,   -4462,    1686,      88,    1954,       0,    2081,    1391,      80,     770,  100.0,   22.3,   62.4,    0.7,   32.7,    4.0,    0.4,   37.1,    9.9,    2.2,    1.6,   17.9,    0.0,   97.0,   97.5,    3.0,    2.5,    130,      7,      4,.,     14,     12,.,     33,     32,      9,     10,     16,      0,     69,     73,    53.9,    65.9,    67.8,    77.6,    53.9,    65.4,    67.8,    77.0,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181106,2018-11-06,095741,CME ,00,095 ,  184085,   32441,  119260,    1488,   76154,    2662,       0,   63106,   22988,    2425,    2924,   31320,       0,  178538,  180143,    5547,    3942,   -8245,   23570,  -13272,    1102,  -23800,     362,     -60,   -9166,    2170,    1959,   -1172,     168,       0,   -7567,   -7571,    -678,    -674,  100.0,   17.6,   64.8,    0.8,   41.4,    1.4,    0.0,   34.3,   12.5,    1.3,    1.6,   17.0,    0.0,   97.0,   97.9,    3.0,    2.1,    135,      6,      6,.,     18,      8,      0,     31,     39,     14,      9,     16,      0,     72,     80,    52.6,    68.2,    68.8,    79.6,    52.6,    67.6,    68.7,    79.0,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181030,2018-10-30,095741,CME ,00,095 ,  192330,    8871,  132532,     386,   99954,    2300,      60,   72272,   20818,     466,    4096,   31152,       0,  186105,  187714,    6225,    4616,  -13940,    1506,  -16311,     -14,  -15985,     400,      13,    3392,   -2054,   -1262,    -380,    4365,       0,  -12730,  -14863,   -1210,     923,  100.0,    4.6,   68.9,    0.2,   52.0,    1.2,    0.0,   37.6,   10.8,    0.2,    2.1,   16.2,    0.0,   96.8,   97.6,    3.2,    2.4,    133,      4,      5,.,     23,      7,.,     35,     32,.,     11,     15,      0,     76,     64,    50.3,    67.9,    65.4,    81.3,    50.3,    67.9,    65.4,    81.2,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181023,2018-10-23,095741,CME ,00,095 ,  206270,    7365,  148843,     400,  115939,    1900,      47,   68880,   22872,    1728,    4476,   26787,       0,  198835,  202577,    7435,    3693,   -8868,      99,   -4615,      24,     573,    -878,    -143,  -10171,   -2810,     716,     209,   -1598,    -193,   -8886,   -9497,      18,     629,  100.0,    3.6,   72.2,    0.2,   56.2,    0.9,    0.0,   33.4,   11.1,    0.8,    2.2,   13.0,    0.0,   96.4,   98.2,    3.6,    1.8,    134,.,      6,.,     27,      6,.,     36,     34,     10,      9,     12,      0,     79,     68,    49.7,    69.0,    65.6,    82.1,    49.7,    69.0,    65.5,    82.1,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181016,2018-10-16,095741,CME ,00,095 ,  215138,    7266,  153458,     376,  115366,    2778,     190,   79051,   25682,    1012,    4267,   28385,     193,  207721,  212074,    7417,    3064,    6544,    -176,    3891,      30,    3540,   -3450,     190,    2920,    4566,     390,    -502,     768,     193,    6585,    6578,     -41,     -34,  100.0,    3.4,   71.3,    0.2,   53.6,    1.3,    0.1,   36.7,   11.9,    0.5,    2.0,   13.2,    0.1,   96.6,   98.6,    3.4,    1.4,    149,.,      7,.,     27,      8,.,     48,     30,      5,     12,     14,.,     92,     66,    47.5,    67.7,    62.0,    80.4,    47.5,    67.7,    62.0,    80.4,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181009,2018-10-09,095741,CME ,00,095 ,  208594,    7442,  149567,     346,  111826,    6228,       0,   76131,   21116,     622,    4769,   27617,       0,  201136,  205496,    7458,    3098,   -8624,     317,     716,     -68,   -6611,     877,       0,    -120,   -9283,      64,   -1911,     307,    -117,   -8446,   -7504,    -178,   -1120,  100.0,    3.6,   71.7,    0.2,   53.6,    3.0,    0.0,   36.5,   10.1,    0.3,    2.3,   13.2,    0.0,   96.4,   98.5,    3.6,    1.5,    147,      4,      6,.,     27,      8,      0,     51,     24,      5,     12,     15,      0,     95,     59,    49.9,    68.2,    64.7,    81.0,    49.9,    68.2,    64.7,    81.0,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",181002,2018-10-02,095741,CME ,00,095 ,  217218,    7125,  148851,     414,  118437,    5351,       0,   76251,   30399,     558,    6680,   27310,     117,  209582,  213000,    7636,    4218,   12568,    -278,   11627,      14,     743,    3816,       0,   10670,   -4297,     346,     692,    -139,     116,   12303,   11483,     265,    1085,  100.0,    3.3,   68.5,    0.2,   54.5,    2.5,    0.0,   35.1,   14.0,    0.3,    3.1,   12.6,    0.1,   96.5,   98.1,    3.5,    1.9,    147,.,      6,.,     25,      6,      0,     50,     31,      4,     13,     13,.,     93,     61,    50.6,    65.1,    64.4,    77.5,    50.6,    65.1,    64.4,    77.5,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",180925,2018-09-25,095741,CME ,00,095 ,  204650,    7403,  137224,     400,  117694,    1535,       0,   65581,   34696,     212,    5988,   27449,       1,  197279,  201517,    7371,    3133,    4458,      50,   10930,       0,    3481,     341,       0,    1491,  -12036,    -590,     281,    6040,       1,    4714,    4686,    -256,    -228,  100.0,    3.6,   67.1,    0.2,   57.5,    0.8,    0.0,   32.0,   17.0,    0.1,    2.9,   13.4,    0.0,   96.4,   98.5,    3.6,    1.5,    137,.,      6,.,     25,      5,      0,     37,     35,      4,     12,     14,.,     80,     63,    50.8,    66.0,    65.0,    77.9,    50.8,    66.0,    64.9,    77.9,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
"MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE",180918,2018-09-18,095741,CME ,00,095 ,  200192,    7353,  126294,     400,  114213,    1194,       0,   64090,   46732,     802,    5707,   21409,       0,  192565,  196831,    7627,    3361,  -44851,    6728,   10437,  -31620,  -13161,    -515,       0,   -1657,  -16179,   -7199,    1715,     564,    -215,  -45409,  -44727,     558,    -124,  100.0,    3.7,   63.1,    0.2,   57.1,    0.6,    0.0,   32.0,   23.3,    0.4,    2.9,   10.7,    0.0,   96.2,   98.3,    3.8,    1.7,    140,.,      5,.,     25,      5,      0,     44,     34,      6,     13,     11,      0,     89,     58,    50.0,    65.0,    64.7,    76.1,    50.0,    65.0,    64.7,    76.1,"(CONTRACTS OF MXN 500,000)","095741","CME ","095 ","F15","FutOnly"
